"Model","RMSE","MAE","R2","MAPE","Correlation"
"XGBoost-Cases",0.295974851592068,0.09979109866564,0.906302646834187,21.9282850261789,0.953029335915274
"RandomForest-Cases",0.295638223322193,0.102424959096867,0.906515659804522,23.0457919211191,0.954660264031547
